episode_id,split
lab_109,train
lab_110,train
lab_111,train
lab_112,train
lab_113,train
lab_114,train
lab_115,train
lab_116,train
lab_117,train
lab_118,train
lab_119,train
lab_120,train
lab_121,train
lab_122,train
lab_123,train
lab_124,train
lab_125,train
lab_126,train
lab_127,train
lab_128,train
lab_129,train
lab_130,train
lab_131,train
lab_132,train
lab_133,train
lab_134,train
lab_135,train
lab_136,train
lab_137,train
lab_138,train
lab_139,train
lab_140,train
lab_141,train
lab_142,train
lab_143,train
lab_144,train
lab_145,train
lab_146,train
lab_147,train
lab_148,train
lab_149,validation
lab_150,validation
lab_151,validation
lab_152,validation
lab_153,validation
lab_154,validation
lab_155,validation
lab_156,validation
lab_157,validation
lab_158,validation
lab_159,validation
lab_160,validation
lab_161,validation
lab_162,validation
lab_163,validation
lab_164,validation
lab_165,test
lab_166,test
lab_167,test
lab_168,test
lab_169,test
lab_170,test
lab_171,test
lab_172,test
lab_173,test
lab_174,test
lab_175,test
lab_176,test
lab_177,test
lab_178,test
lab_179,test
lab_180,test
lab_181,test
lab_182,test
lab_183,test
lab_184,test
lab_185,test
lab_186,test
lab_187,test
lab_188,test
