episode_id,split
lab_025,train
lab_026,train
lab_027,train
lab_028,train
lab_029,train
lab_030,train
lab_031,train
lab_032,train
lab_033,train
lab_034,train
lab_035,train
lab_036,train
lab_037,train
lab_038,train
lab_039,train
lab_040,train
lab_041,train
lab_042,train
lab_043,train
lab_044,train
lab_045,train
lab_046,train
lab_047,train
lab_048,train
lab_049,train
lab_050,train
lab_051,train
lab_052,train
lab_053,train
lab_054,train
lab_055,train
lab_056,train
lab_057,train
lab_058,train
lab_059,train
lab_060,train
lab_061,validation
lab_062,validation
lab_063,validation
lab_064,validation
lab_065,validation
lab_066,validation
lab_067,test
lab_068,test
lab_069,test
lab_070,test
lab_071,test
lab_072,test
