episode_id,scenario,seed,duration_seconds
lab_025,benign_ping,4003,120
lab_026,benign_ping,4014,120
lab_027,two_hop,4002,120
lab_028,benign_ping,4020,120
lab_029,legitimate_ssh,4027,120
lab_030,legitimate_ssh,4000,120
lab_031,scan_only,4004,120
lab_032,legitimate_ssh,4009,120
lab_033,failed_guessing,4018,120
lab_034,scan_only,4005,120
lab_035,one_hop,4017,120
lab_036,scan_only,4007,120
lab_037,benign_ping,4036,120
lab_038,failed_guessing,4054,120
lab_039,two_hop,4011,120
lab_040,failed_guessing,4015,120
lab_041,legitimate_ssh,4008,120
lab_042,one_hop,4022,120
lab_043,scan_only,4028,120
lab_044,one_hop,4019,120
lab_045,failed_guessing,4016,120
lab_046,two_hop,4012,120
lab_047,one_hop,4024,120
lab_048,two_hop,4006,120
lab_049,scan_guess_then_stop,5005,120
lab_050,one_hop,5005,120
lab_051,scan_guess_then_stop,5011,120
lab_052,one_hop,5011,120
lab_053,scan_guess_then_stop,5000,120
lab_054,one_hop,5000,120
lab_055,scan_guess_then_stop,5010,120
lab_056,one_hop,5010,120
lab_057,scan_guess_then_stop,5001,120
lab_058,one_hop,5001,120
lab_059,scan_guess_then_stop,5004,120
lab_060,one_hop,5004,120
lab_061,scan_guess_then_stop,5100,120
lab_062,one_hop,5100,120
lab_063,scan_guess_then_stop,5103,120
lab_064,one_hop,5103,120
lab_065,scan_guess_then_stop,5104,120
lab_066,one_hop,5104,120
lab_067,scan_guess_then_stop,5207,120
lab_068,one_hop,5207,120
lab_069,scan_guess_then_stop,5204,120
lab_070,one_hop,5204,120
lab_071,scan_guess_then_stop,5200,120
lab_072,one_hop,5200,120
