state_id,window_start,technique_ids,tactics,actors,targets,has_lateral_movement
0,2017-07-07 13:00:00,,,,,0
1,2017-07-07 13:01:00,,,,,0
2,2017-07-07 13:02:00,,,,,0
3,2017-07-07 13:03:00,,,,,0
4,2017-07-07 13:04:00,,,,,0
5,2017-07-07 13:05:00,,,,,0
6,2017-07-07 13:06:00,,,,,0
7,2017-07-07 13:07:00,,,,,0
8,2017-07-07 13:08:00,,,,,0
9,2017-07-07 13:09:00,,,,,0
10,2017-07-07 13:10:00,,,,,0
11,2017-07-07 13:11:00,,,,,0
12,2017-07-07 13:12:00,,,,,0
13,2017-07-07 13:13:00,,,,,0
14,2017-07-07 13:14:00,,,,,0
15,2017-07-07 13:15:00,,,,,0
16,2017-07-07 13:16:00,,,,,0
17,2017-07-07 13:17:00,,,,,0
18,2017-07-07 13:18:00,,,,,0
19,2017-07-07 13:19:00,,,,,0
20,2017-07-07 13:20:00,,,,,0
21,2017-07-07 13:21:00,,,,,0
22,2017-07-07 13:22:00,,,,,0
23,2017-07-07 13:23:00,,,,,0
24,2017-07-07 13:24:00,,,,,0
25,2017-07-07 13:25:00,,,,,0
26,2017-07-07 13:26:00,,,,,0
27,2017-07-07 13:27:00,,,,,0
28,2017-07-07 13:28:00,,,,,0
29,2017-07-07 13:29:00,,,,,0
30,2017-07-07 13:30:00,,,,,0
31,2017-07-07 13:31:00,,,,,0
32,2017-07-07 13:32:00,,,,,0
33,2017-07-07 13:33:00,,,,,0
34,2017-07-07 13:34:00,,,,,0
35,2017-07-07 13:35:00,,,,,0
36,2017-07-07 13:36:00,,,,,0
37,2017-07-07 13:37:00,,,,,0
38,2017-07-07 13:38:00,,,,,0
39,2017-07-07 13:39:00,,,,,0
40,2017-07-07 13:40:00,,,,,0
41,2017-07-07 13:41:00,,,,,0
42,2017-07-07 13:42:00,,,,,0
43,2017-07-07 13:43:00,,,,,0
44,2017-07-07 13:44:00,,,,,0
45,2017-07-07 13:45:00,,,,,0
46,2017-07-07 13:46:00,,,,,0
47,2017-07-07 13:47:00,,,,,0
48,2017-07-07 13:48:00,,,,,0
49,2017-07-07 13:49:00,,,,,0
50,2017-07-07 13:50:00,,,,,0
51,2017-07-07 13:51:00,,,,,0
52,2017-07-07 13:52:00,,,,,0
53,2017-07-07 13:53:00,,,,,0
54,2017-07-07 13:54:00,,,,,0
55,2017-07-07 13:55:00,T1046,Discovery,205.174.165.73,192.168.10.50,0
56,2017-07-07 13:56:00,T1046,Discovery,205.174.165.73,192.168.10.50,0
57,2017-07-07 13:57:00,T1046,Discovery,205.174.165.73,192.168.10.50,0
58,2017-07-07 13:58:00,T1046,Discovery,205.174.165.73,192.168.10.50,0
59,2017-07-07 13:59:00,T1046,Discovery,205.174.165.73,192.168.10.50,0
60,2017-07-07 14:00:00,T1046,Discovery,205.174.165.73,192.168.10.50,0
61,2017-07-07 14:01:00,T1046,Discovery,205.174.165.73,192.168.10.50,0
62,2017-07-07 14:02:00,T1046,Discovery,205.174.165.73,192.168.10.50,0
63,2017-07-07 14:03:00,T1046,Discovery,205.174.165.73,192.168.10.50,0
64,2017-07-07 14:04:00,T1046,Discovery,205.174.165.73,192.168.10.50,0
